Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
EXPORT STAFF,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,Jakarta Selatan,5672724
HC Operational Department Head,CIPUTRA GROUP,Jakarta Raya,6747657
Purchasing,PT I Like Gym Indonesia,Jakarta Barat,5431147
TELEMARKETING/CUSTOMER RELATIONS,PT Aksel Kreasi Utama,Cikarang Pusat,5000000
Junior Buyer (Dry Products / FMCG),PT Kreasi Nostra Mandiri,Jakarta Selatan,4850000
Junior Buyer (Dry Products / FMCG),PT Kreasi Nostra Mandiri,Jakarta Selatan,5243877
Finance AR,PT Vektordaya Mekatrika,Jakarta Raya,6807113
Administrasi Purchasing,KPPA ASIADESC,Surabaya,4850000
Merchandiser,UD A & W,Jakarta Timur,6500000
HC People Development,CIPUTRA GROUP,Jakarta Raya,6712803
Concierge,PT Plaza Nusantara Realti,Jakarta Pusat,6007876
Customer Service Representative,PT. Putra Perkasa,Surabaya,4798806
Staf Account Payable,PT Dwi Tunggal Surya Jaya,Jakarta Pusat,5772160
Barista,Port n Brew,Kelapa Gading,3750000
Legal Officer,PT Asuransi FPG Indonesia,Jakarta Selatan,6635098
Secretary,PT Technet Vision Indonesia,Jakarta Timur,6000000
Sales Assistant,PT Epsea Machinery Equipment Indonesia,Surabaya,9000000
Admin,PT LAMITECH INDONESIA,Jonggol,3750000
BANKING ACADEMY FOR SERVICE ADVISOR (JABODETABEK),PT Bank OCBC NISP Tbk,Jakarta Raya,5384709
Admin Penjualan,InterScent Excelindo,Surabaya,4216833
Finance & Accounting,PT Asuransi FPG Indonesia,Jakarta Selatan,5584749
COLLECTION,PT Surya Bumimegah Sejahtera (Surabaya),Surabaya,4750000
SENIOR SALES MANAGER,PT Kahar Duta Sarana,Jakarta Raya,27500000
Procurement Inventory Head,"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,6347957
Accounting Staff,PT INDOLIFE PENSIONTAMA,Jakarta Raya,6512800
ADMIN CUSTOMS & TRUCKING,PT Binex Logistic,Jakarta Utara,4522461
STOCK & INVENTORY CONTROLL,CV Karya Utama,Bali,4250000
Sales Assistant Manager (Oli & Cat Industri),PT. INTISUMBER BAJASAKTI,Penjaringan,17500000
SPV SALES & MARKETING,CV. GLOBAL PET INDONESIA,Tangerang,8350000
Quality Control,Siam Karat International Indonesia,Tangerang,4898861
HR & GA Manager,PT Sobat Sejati Sukses,Jakarta Raya,12500000
Project Estimator,House of Panda,Jakarta Raya,15000000
Product Marketing for Digital Imaging,PT Sony Indonesia,Jakarta Raya,6562572
SPV HRGA,CV. GLOBAL PET INDONESIA,Tangerang,8350000
Junior Area Manager Restaurant,Sari Rasa Group,Jakarta Raya,9294455
Hotel and Restaurant in Pantai Carita,Pengiklan Anonim,Carita,5000000
EDITOR VIDEO,PT. NUANSA PEDAS MAKMUR,Jakarta Barat,5098396
Head Sales Admin,PT Higienis Indonesia,Jakarta Pusat,7750000
Head Sales Admin,PT Higienis Indonesia,Jakarta Pusat,7750000
Management Trainee (Sales Marketing),PT ST Morita Industries (MORITA GROUP),Jakarta Timur,5500000
Social media specialist,PT KARYA KREATIF INDOTAS,Tangerang,7440000
Group Finance Manager,PT. Prakasa Makmur Kencana,Tangerang,30000000
Procurement Intern,PT CBC Indonesia (Motion Indonesia),Tangerang,1932172
Finance Staff,PT. Vallianz Offshore Maritim,Jakarta Selatan,5643135
SALES MANAGER,PT OSA MEGAH INDONESIA,Jakarta Raya,17500000
HR Adminsitrator,Oakberry,Denpasar,12000000
ACMV Projects Engineer (Jakarta / Batam),PT. Newark Engineering Indonesia,Jakarta Raya,12500000
Marketing Officer (Jabodetabek),PT Dipo Star Finance,Jakarta Raya,6250000
Head of Commercial - Logistics,PT Adecco Personnel Indonesia,Cikarang,60000000
Production Planning & Inventory Management Supervisor,PT Selatox Bio Pharma,Cikarang,6903606
Area Sales Supervisor (Material Building - PIPA PVC),PT BHINNEKA PLASTIK INDONESIA,Jakarta Barat,9000000
Purchasing Specialist Officer,PT. Mega Bintang Mas Indonesia,Medan,6156830
Secretary,Pengiklan Anonim,Jakarta Raya,6038119
Assistant Manager Produksi - Tangerang,PT Fumakilla Indonesia,Tangerang,10215134
Staff System & Network Engineer,PT Abadi Tambah Mulia Internasional,Jakarta Selatan,6750000
Production Supervisor,PT. Zhi Xing Indonesia,Tangerang,7500000
Acquisition Staff,PT. MAX AUTO INDONESIA,Medan,5141908
"Finance, Accounting, & Tax",CIPUTRA GROUP,Jakarta Raya,7774945
